,Ticker,% Held by Insiders,% Held by Institutions,200-Day Moving Average,5 Year Average Dividend Yield,50-Day Moving Average,52 Week High,52 Week Low,52-Week Change,Avg Vol (10 day),Avg Vol (3 month),Beta (3Y Monthly),Book Value Per Share (mrq),Current Ratio (mrq),Diluted EPS (ttm),Dividend Date,EBITDA,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Ex-Dividend Date,Fiscal Year Ends,Float,Forward Annual Dividend Rate,Forward Annual Dividend Yield,Forward P/E,Gross Profit (ttm),Last Split Date,Last Split Factor (new per old),Levered Free Cash Flow (ttm),Market Cap (intraday),Most Recent Quarter (mrq),Net Income Avi to Common (ttm),Operating Cash Flow (ttm),Operating Margin (ttm),PEG Ratio (5 yr expected),Payout Ratio,Price/Book (mrq),Price/Sales (ttm),Profit Margin,Quarterly Earnings Growth (yoy),Quarterly Revenue Growth (yoy),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),S&P500 52-Week Change,Shares Outstanding,Shares Short,"Shares Short (Aug 31, 2018)","Shares Short (Nov 15, 2019)",Shares Short (prior month ),"Shares Short (prior month Jul 31, 2018)","Shares Short (prior month Oct 15, 2019)",Short % of Float,"Short % of Float (Aug 31, 2018)","Short % of Float (Nov 15, 2019)",Short % of Shares Outstanding,"Short % of Shares Outstanding (Aug 31, 2018)","Short % of Shares Outstanding (Nov 15, 2019)",Short Ratio,"Short Ratio (Aug 31, 2018)","Short Ratio (Nov 15, 2019)",Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Trailing Annual Dividend Rate,Trailing Annual Dividend Yield,Trailing P/E,Symbol,Name,Sector
0,ADM,0.0032,0.8037000000000001,40.39,2.83,41.98,47.16,36.45,-0.0835,1860000.0,2740000.0,1.1,33.88,1.6,2.1,1.5761088e+18,2520000000.0,32780000000.0,13.01,0.51,1.574208e+18,1.5462144e+18,554170000.0,1.4,0.0326,13.28,4179999999.9999995,9.991296e+17,100/105,1260000000.0,24100000000.0,1.5698016e+18,1190000000.0,-4740000000.0,0.024,-1.88,0.6595000000000001,1.28,0.37,0.018500000000000003,-0.24100000000000002,0.059000000000000004,0.023700000000000002,0.063,64269999999.99999,113.96,0.12560000000000002,556690000.0,,,13820000.0,,,11860000.0,,,0.027700000000000002,,,0.0248,,,4.92,958000000.0,1.72,9760000000.0,51.52,1.38,0.0323,20.61,ADM,Archer-Daniels-Midland Co,Consumer Staples
1,CPB,0.44380000000000003,0.5386,43.61,2.85,46.97,48.39,32.03,0.20149999999999998,1810000.0,1990000.0,0.41,3.66,0.58,0.7,1.5800832e+18,1480000000.0,22480000000.0,15.19,2.77,1.5783552e+18,1.564272e+18,152370000.0,1.4,0.0301,17.79,2710000000.0,8.586432e+17,1/2,768630000.0,14200000000.0,1.564272e+18,474000000.0,1430000000.0,0.1378,-4.69,0.8917,12.87,1.75,0.026000000000000002,,0.122,0.050499999999999996,0.3815,8109999999.999999,26.93,0.12560000000000002,301190000.0,,,20120000.0,,,20150000.0,,,0.1052,,,0.0668,,,12.14,31000000.0,0.1,8470000000.000001,762.05,1.4,0.0301,67.44,CPB,Campbell Soup,Consumer Staples
2,CHD,0.0023,0.8844,74.39,1.46,70.63,80.99,59.64,0.057699999999999994,1820000.0,1910000.0,0.11,10.43,0.8,2.44,1.5752448e+18,1000000000.0,19470000000.0,19.46,4.54,1.5736896e+18,1.5462144e+18,244800000.0,0.91,0.013000000000000001,25.95,1840000000.0,1.4727744e+18,1/2,606000000.0,17129999999.999998,1.5698016e+18,614300000.0,813100000.0,0.1978,3.48,0.3689,6.69,4.0,0.1433,0.075,0.05,0.0843,0.25010000000000004,4290000000.0,17.4,0.12560000000000002,245400000.0,,,9180000.0,,,9880000.0,,,0.0424,,,0.0374,,,5.52,114700000.0,0.47,2350000000.0,91.63,0.9,0.0128,28.61,CHD,Church & Dwight,Consumer Staples
3,KO,0.0075,0.6899,52.82,3.18,53.33,55.92,44.42,0.0747,10020000.0,10930000.0,0.45,4.37,0.92,1.81,1.5764544e+18,10670000000.0,261579999999.99997,24.51,7.79,1.5749856e+18,1.5462144e+18,3850000000.0,1.6,0.03,23.78,20090000000.0,1.344816e+18,1/2,10960000000.0,230290000000.0,1.5695424e+18,8000000000.0,9710000000.0,0.2809,5.46,0.8456999999999999,12.31,6.86,0.2309,0.379,0.083,0.0676,0.39640000000000003,33560000000.000004,7.86,0.12560000000000002,4280000000.0000005,,,30230000.0,,,35320000.0,,,0.0070999999999999995,,,0.0070999999999999995,,,2.66,12990000000.0,3.03,43800000000.0,211.79,1.59,0.0298,29.68,KO,Coca-Cola Company (The),Consumer Staples
4,CL,0.0037,0.7851,71.1,2.29,67.36,76.41,57.51,0.0637,2610000.0,3510000.0,0.72,-0.38,1.03,2.7,1.573776e+18,4040000000.0,66560000000.0,16.49,4.3,1.5717024e+18,1.5462144e+18,797380000.0,1.72,0.025400000000000002,22.6,9260000000.0,1.3686624e+18,1/2,2140000000.0000002,57910000000.0,1.5698016e+18,2330000000.0,3020000000.0,0.22899999999999998,23.45,0.6296,,3.74,0.1504,0.105,0.022000000000000002,0.1607,46.943400000000004,15490000000.0,17.97,0.12560000000000002,857040000.0,,,12690000.0,,,12530000.0,,,0.0158,,,0.0148,,,3.09,1060000000.0,1.23,8800000000.0,5059.77,1.7,0.025099999999999997,25.03,CL,Colgate-Palmolive,Consumer Staples
5,CAG,0.0085,0.9070999999999999,28.52,2.56,27.93,32.8,20.22,-0.10980000000000001,2710000.0,4310000.0,0.74,15.29,1.11,1.44,1.5753312e+18,2029999999.9999998,24860000000.0,12.24,2.46,1.57248e+18,1.5588288e+18,484840000.0,0.85,0.0294,12.5,2720000000.0,1.478736e+18,1000/1285,478510000.0,14000000000.0,1.5666912e+18,675800000.0,1240000000.0,0.171,1.53,0.5903,1.88,1.39,0.0668,-0.025,0.303,0.06570000000000001,0.11939999999999999,10090000000.0,21.58,0.12560000000000002,486650000.0,,,24970000.0,,,25980000.0,,,0.0666,,,0.0513,,,6.92,64700000.0,0.13,10790000000.0,143.61,0.85,0.0294,19.96,CAG,Conagra Brands,Consumer Staples
6,STZ,0.053,0.8469,195.39,,189.51,214.48,150.37,-0.0613,1030000.0,1140000.0,0.67,59.7,1.61,3.99,1.5743808e+18,2980000000.0,49270000000.0,16.54,6.0,1.5730848e+18,1.551312e+18,160000000.0,3.0,0.016200000000000003,20.16,4099999999.9999995,1.1162016e+18,1/2,771700000.0,35680000000.0,1.5672096e+18,772000000.0,2330000000.0,0.32270000000000004,3.75,0.774,3.12,4.35,0.094,,0.02,0.0641,0.0695,8210000000.000001,43.02,0.12560000000000002,167500000.0,,,7350000.0,,,7850000.0,,,0.046,,,0.0383,,,7.54,81400000.0,0.43,13540000000.0,115.78,2.98,0.016,46.6,STZ,Constellation Brands,Consumer Staples
7,COST,0.005200000000000001,0.7352,280.66,1.02,300.16,307.34,189.51,0.2918,1830000.0,2029999.9999999998,0.9,34.67,1.01,8.26,1.573776e+18,6230000000.0,129940000000.0,20.86,0.85,1.57248e+18,1.567296e+18,432700000.0,2.6,0.0087,31.98,19820000000.0,9.47808e+17,1/2,2620000000.0,130750000000.0,1.567296e+18,3660000000.0,6360000000.0,0.031000000000000003,4.7,0.2954,8.58,0.86,0.024,0.052000000000000005,0.07,0.0687,0.2582,152700000000.0,347.25,0.12560000000000002,439660000.0,,,5570000.0,,,5530000.0,,,0.012700000000000001,,,0.012700000000000001,,,3.29,9440000000.0,21.48,7240000000.0,46.48,2.44,0.008100000000000001,36.0,COST,Costco Wholesale Corp.,Consumer Staples
8,COTY,0.414,0.7277,11.33,2.65,11.69,14.14,5.91,0.3625,3810000.0,4600000.0,0.75,5.89,0.97,-4.95,1.5774048e+18,1350000000.0,16690000000.000002,12.39,1.95,1.573776e+18,1.5618528e+18,286550000.0,0.5,0.0433,15.44,5350000000.0,,,527140000.0,8780000000.0,1.5698016e+18,-3720000000.0,761400000.0,0.0722,2.28,,1.97,1.03,-0.43460000000000004,,-0.044000000000000004,0.0194,-0.5369,8560000000.000001,11.38,0.12560000000000002,757890000.0,,,25500000.0,,,32950000.000000004,,,0.0861,,,0.0336,,,4.64,350400000.0,0.46,8199999999.999999,179.76,0.5,0.0433,,COTY,"Coty, Inc",Consumer Staples
9,CVS,0.0024,0.838,60.8,2.3,69.95,80.67,51.72,-0.0534,7320000.0,7010000.0,0.84,48.13,0.92,3.55,1.5728256e+18,15750000000.0,180590000000.0,11.47,0.74,1.5717888e+18,1.5462144e+18,1300000000.0,2.0,0.026600000000000002,10.6,30880000000.0,1.1181024e+18,1/2,15670000000.0,98290000000.0,1.5698016e+18,4460000000.0,12690000000.0,0.048,3.68,0.5970000000000001,1.57,0.4,0.0184,0.10099999999999999,0.36600000000000005,0.0415,0.0897,243330000000.0,193.81,0.12560000000000002,1300000000.0,,,23210000.0,,,21830000.0,,,0.0179,,,0.0178,,,2.94,7530000000.0,5.79,89680000000.0,142.5,2.0,0.026600000000000002,21.28,CVS,CVS Health,Consumer Staples
